,,Students_per_Teachers,Students_per_Teachers,Students_per_Teachers
,,min,max,mean
Biała Podlaska,Sześcioletnia szkoła muzyczna II stopnia,6.5,6.5,6.5
Biała Podlaska,Szkoła podstawowa,1.1304347826086956,19.0,6.88502988290569
Biała Podlaska,Szkoła policealna,2.2857142857142856,26.4,14.080362448009508
Biała Podlaska,Technikum,0.5625,4.910714285714286,2.736607142857143
Biała Podlaska,Zespół szkół i placówek oświatowych,0.0,0.0,0.0
Biała Rawska,Przedszkole,9.653846153846153,9.653846153846153,9.653846153846153
Biała Rawska,Szkoła podstawowa,2.1176470588235294,11.433962264150944,5.790187262744071
Biała Rawska,Zespół szkół i placówek oświatowych,0.0,0.0,0.0
Białaczów,Gimnazjum,4.0,4.0,4.0
Białaczów,Szkoła podstawowa,9.416666666666666,10.785714285714286,10.263095238095238
Białe Błota,Przedszkole,6.666666666666667,9.5,8.132981601731602
Białe Błota,Szkoła podstawowa,3.1333333333333333,9.573033707865168,6.975267117742855
Białe Błota,Szkoła policealna,28.0,28.0,28.0
Białobrzegi,Gimnazjum,4.1,4.166666666666667,4.133333333333333
Białobrzegi,Liceum ogólnokształcące,9.365853658536585,9.365853658536585,9.365853658536585
Białobrzegi,Poradnia psychologiczno-pedagogiczna,0.0,0.0,0.0
Białobrzegi,Przedszkole,3.8,11.333333333333334,8.527380952380952
Białobrzegi,Szkoła podstawowa,2.7777777777777777,12.631578947368421,6.100175117280381
Białobrzegi,Zespół szkół i placówek oświatowych,0.0,0.0,0.0
Białogard,Branżowa szkoła I stopnia,0.47058823529411764,1.9,1.1852941176470588
Białogard,Gimnazjum,3.8333333333333335,3.8333333333333335,3.8333333333333335
Białogard,Liceum ogólnokształcące,6.3,10.714285714285714,8.208116883116883
Białogard,Młodzieżowy dom kultury,0.0,0.0,0.0
Białogard,Poradnia psychologiczno-pedagogiczna,0.0,0.0,0.0
Białogard,Przedszkole,8.4,12.842105263157896,11.185192147034252
Białogard,Sześcioletnia szkoła muzyczna I stopnia,7.388888888888889,7.388888888888889,7.388888888888889
Białogard,Szkoła podstawowa,0.75,12.487179487179487,7.312389112976888
Białogard,Szkoła policealna,6.625,9.0,7.8125
Białogard,Technikum,0.0,0.0,0.0
Białogard,Zespół szkół i placówek oświatowych,0.0,0.0,0.0
Białopole,Punkt przedszkolny,25.0,25.0,25.0
Białopole,Szkoła podstawowa,5.636363636363637,8.76923076923077,7.202797202797203
Białowieża,Technikum,4.416666666666667,4.416666666666667,4.416666666666667
Białowieża,Zespół szkół i placówek oświatowych,0.0,0.0,0.0
Białośliwie,Przedszkole,8.117647058823529,8.117647058823529,8.117647058823529
Białośliwie,Szkoła podstawowa,10.53191489361702,10.53191489361702,10.53191489361702
Biały Bór,Liceum ogólnokształcące,1.7083333333333333,1.7083333333333333,1.7083333333333333
Biały Bór,Szkoła podstawowa,2.4615384615384617,3.7142857142857144,3.087912087912088
Biały Bór,Zespół szkół i placówek oświatowych,0.0,0.0,0.0
Biały Dunajec,Przedszkole,11.0,11.0,11.0
Biały Dunajec,Szkoła podstawowa,3.5714285714285716,9.516129032258064,6.879289298515106
Białystok,Branżowa szkoła I stopnia,2.4761904761904763,2.4761904761904763,2.4761904761904763
Białystok,Bursa,0.0,0.0,0.0
Białystok,Centrum Kształcenia Ustawicznego ze szkołami,0.0,0.0,0.0
Białystok,Czteroletnia szkoła muzyczna I stopnia,10.0,10.0,10.0
